time,command_i1,command_i2,set_v1,set_v2,i1,i2,pos1,pos2,vel1,vel2
1669426400.1744254,0.1,-0.1,0,0,0.12440156936645508,-0.052060604095458984,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.1854002,0.1,-0.1,0,0,0.1325082778930664,-0.07444095611572266,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.196341,0.1,-0.1,0,0,0.10600805282592773,-0.028970718383789062,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.2063508,0.1,-0.1,0,0,0.0933537483215332,-0.08563041687011719,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.216434,0.1,-0.1,0,0,0.11985111236572266,-0.09578132629394531,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.2272675,0.1,-0.1,0,0,0.08643150329589844,-0.09053277969360352,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.2382774,0.1,-0.1,0,0,0.07950925827026367,-0.1345982551574707,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.2492282,0.1,-0.1,0,0,0.07377433776855469,-0.07968950271606445,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.259362,0.1,-0.1,0,0,0.08128881454467773,-0.08737850189208984,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.2701635,0.1,-0.1,0,0,0.10996484756469727,-0.09962654113769531,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.2802835,0.1,-0.1,0,0,-0.1130990982055664,-0.16851282119750977,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.2910979,0.1,-0.1,0,0,0.12162923812866211,-0.07444095611572266,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.3020682,0.1,-0.1,0,0,0.08010292053222656,-0.1825103759765625,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.3130255,0.1,-0.1,0,0,0.17443227767944336,-0.17654800415039062,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.3239694,0.1,-0.1,0,0,0.05123090744018555,-0.09089040756225586,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.3349364,0.1,-0.1,0,0,0.0886073112487793,-0.15945768356323242,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.3459015,0.1,-0.1,0,0,0.10837984085083008,-0.04904651641845703,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.3559146,0.1,-0.1,0,0,0.07258987426757812,-0.07404613494873047,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.3668702,0.1,-0.1,0,0,0.12558746337890625,-0.08138322830200195,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.3778079,0.1,-0.1,0,0,0.08643007278442383,-0.10167074203491211,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.3887987,0.1,-0.1,0,0,0.09967947006225586,-0.09089183807373047,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.3997722,0.1,-0.1,0,0,0.11134529113769531,-0.09433221817016602,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.4107375,0.1,-0.1,0,0,0.08761739730834961,-0.09478425979614258,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.4217112,0.1,-0.1,0,0,0.059931278228759766,-0.08138322830200195,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.43268,0.1,-0.1,0,0,0.12677335739135742,-0.0779414176940918,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.4436483,0.1,-0.1,0,0,0.12617969512939453,-0.08228445053100586,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.4546154,0.1,-0.1,0,0,0.10501670837402344,-0.0986781120300293,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.4655857,0.1,-0.1,0,0,0.09097909927368164,-0.056383609771728516,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.4765568,0.1,-0.1,0,0,0.16375064849853516,-0.05855226516723633,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.486602,0.1,-0.1,0,0,0.07021665573120117,-0.08183526992797852,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.4975007,0.1,-0.1,0,0,0.05301046371459961,-0.08183526992797852,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.5075383,0.1,-0.1,0,0,0.10877752304077148,-0.06970453262329102,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.5185099,0.1,-0.1,0,0,0.004759311676025391,-0.20228004455566406,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.5294108,0.1,-0.1,0,0,0.09849357604980469,-0.14007139205932617,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.5403779,0.1,-0.1,0,0,0.06566762924194336,-0.02142477035522461,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.5513475,0.1,-0.1,0,0,0.10996484756469727,-0.14007139205932617,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.5623133,0.1,-0.1,0,0,0.11233663558959961,-0.09044122695922852,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.5732806,0.1,-0.1,0,0,0.08287239074707031,-0.10773324966430664,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.5843434,0.1,-0.1,0,0,0.11411476135253906,-0.13146400451660156,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.5953124,0.1,-0.1,0,0,0.14635133743286133,-0.04859733581542969,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.6062517,0.1,-0.1,0,0,0.12044334411621094,-0.09089040756225586,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.61718,0.1,-0.1,0,0,0.05696725845336914,-0.11851215362548828,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.628137,0.1,-0.1,0,0,0.09849357604980469,-0.12540006637573242,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.6390836,0.1,-0.1,0,0,0.0979013442993164,-0.11461973190307617,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.649094,0.1,-0.1,0,0,0.11866378784179688,-0.11334800720214844,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.6600735,0.1,-0.1,0,0,0.10660171508789062,-0.08916807174682617,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.670103,0.1,-0.1,0,0,0.046681880950927734,-0.10384082794189453,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.6809936,0.1,-0.1,0,0,0.07713747024536133,-0.14568471908569336,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.6920042,0.1,-0.1,0,0,0.08583784103393555,-0.09560680389404297,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.702943,0.1,-0.1,0,0,0.26341867446899414,0.1930403709411621,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.7130108,0.1,-0.1,0,0,0.13705730438232422,-0.11978387832641602,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.7238822,0.1,-0.1,0,0,0.1376509666442871,-0.09560680389404297,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.734834,0.1,-0.1,0,0,0.11866378784179688,-0.07621908187866211,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.745771,0.1,-0.1,0,0,0.0015978813171386719,-0.0960545539855957,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.756769,0.1,-0.1,0,0,0.12380790710449219,-0.07449817657470703,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.7668076,0.1,-0.1,0,0,0.0783233642578125,-0.08872032165527344,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.7777362,0.1,-0.1,0,0,0.13883686065673828,-0.10172224044799805,-0.0010262131690979004,-0.003051280975341797,0.0,-3.635883331298828e-06
1669426400.7886772,0.1,-0.1,0,0,0.14912080764770508,-0.11256551742553711,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.7996304,0.1,-0.1,0,0,0.05815315246582031,-0.09472274780273438,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.8096306,0.1,-0.1,0,0,0.04767322540283203,-0.10381793975830078,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.8205926,0.1,-0.1,0,0,0.09394454956054688,-0.09297466278076172,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.8315673,0.1,-0.1,0,0,0.15386438369750977,-0.11256551742553711,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.8425388,0.1,-0.1,0,0,0.05696725845336914,-0.10031890869140625,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.8535044,0.1,-0.1,0,0,0.07199621200561523,-0.09856939315795898,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.8644853,0.1,-0.1,0,0,0.11470842361450195,-0.08003425598144531,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.874523,0.1,-0.1,0,0,0.11866378784179688,-0.1398468017578125,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.8855112,0.1,-0.1,0,0,0.0979013442993164,-0.12131452560424805,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.8963873,0.1,-0.1,0,0,0.08524417877197266,-0.04506254196166992,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.9073632,0.1,-0.1,0,0,0.122222900390625,-0.1307516098022461,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.9183283,0.1,-0.1,0,0,0.04490375518798828,-0.09228229522705078,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.9293,0.1,-0.1,0,0,0.06507396697998047,-0.12235021591186523,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.939328,0.1,-0.1,0,0,0.10660171508789062,-0.1566324234008789,-0.0010262131690979004,-0.003051280975341797,0.0,-1.0132789611816406e-06
1669426400.9502354,0.1,-0.1,0,0,0.05123090744018555,-0.07621908187866211,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.96128,0.1,-0.1,0,0,0.1232156753540039,-0.22293663024902344,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.9721892,0.1,-0.1,0,0,0.11688566207885742,-0.03392601013183594,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.9831345,0.1,-0.1,0,0,0.09157419204711914,-0.11461973190307617,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426400.9941163,0.1,-0.1,0,0,0.07258844375610352,-0.09261131286621094,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.0041296,0.1,-0.1,0,0,0.021962642669677734,-0.15564393997192383,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.0150945,0.1,-0.1,0,0,0.12380790710449219,-0.13625621795654297,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.0260723,0.1,-0.1,0,0,0.0834660530090332,-0.1167912483215332,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.037042,0.1,-0.1,0,0,0.12835693359375,-0.10211849212646484,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.0480394,0.1,-0.1,0,0,0.11115074157714844,-0.14052057266235352,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.0589256,0.1,-0.1,0,0,0.09572553634643555,-0.10339021682739258,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.0698903,0.1,-0.1,0,0,-0.028069496154785156,-0.06499099731445312,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
1669426401.0798936,0.1,-0.1,0,0,0.11292886734008789,-0.11461973190307617,-0.0010262131690979004,-0.003001391887664795,0.0,0.0
